Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,source,State,TotalSamples,Negative,Positive
269.0,21/03/20,6:00 PM,Uttarakhand,3,0,0.0,0.0,3.0,train,,,,
270.0,21/03/20,6:00 PM,West Bengal,3,0,0.0,0.0,3.0,train,,,,
271.0,22/03/20,6:00 PM,Andhra Pradesh,5,0,0.0,0.0,5.0,train,,,,
272.0,22/03/20,6:00 PM,Bihar,2,0,0.0,1.0,2.0,train,,,,
273.0,22/03/20,6:00 PM,Chhattisgarh,1,0,0.0,0.0,1.0,train,,,,
274.0,22/03/20,6:00 PM,Delhi,28,1,5.0,1.0,29.0,train,,,,
275.0,22/03/20,6:00 PM,Gujarat,18,0,0.0,1.0,18.0,train,,,,
276.0,22/03/20,6:00 PM,Haryana,7,14,0.0,0.0,21.0,train,,,,
277.0,22/03/20,6:00 PM,Himachal Pradesh,2,0,0.0,0.0,2.0,train,,,,
278.0,22/03/20,6:00 PM,Karnataka,26,0,2.0,1.0,26.0,train,,,,
279.0,22/03/20,6:00 PM,Kerala,45,7,3.0,0.0,52.0,train,,,,
280.0,22/03/20,6:00 PM,Madhya Pradesh,4,0,0.0,0.0,4.0,train,,,,
281.0,22/03/20,6:00 PM,Maharashtra,64,3,0.0,2.0,67.0,train,,,,
282.0,22/03/20,6:00 PM,Odisha,2,0,0.0,0.0,2.0,train,,,,
283.0,22/03/20,6:00 PM,Puducherry,1,0,0.0,0.0,1.0,train,,,,
284.0,22/03/20,6:00 PM,Punjab,21,0,0.0,1.0,21.0,train,,,,
285.0,22/03/20,6:00 PM,Rajasthan,22,2,3.0,0.0,24.0,train,,,,
286.0,22/03/20,6:00 PM,Tamil Nadu,5,2,1.0,0.0,7.0,train,,,,
287.0,22/03/20,6:00 PM,Telengana,11,11,1.0,0.0,22.0,train,,,,
288.0,22/03/20,6:00 PM,Chandigarh,5,0,0.0,0.0,5.0,train,,,,
289.0,22/03/20,6:00 PM,Jammu and Kashmir,4,0,0.0,0.0,4.0,train,,,,
290.0,22/03/20,6:00 PM,Ladakh,13,0,0.0,0.0,13.0,train,,,,
291.0,22/03/20,6:00 PM,Uttar Pradesh,26,1,9.0,0.0,27.0,train,,,,
292.0,22/03/20,6:00 PM,Uttarakhand,3,0,0.0,0.0,3.0,train,,,,
293.0,22/03/20,6:00 PM,West Bengal,4,0,0.0,0.0,4.0,train,,,,
294.0,23/03/20,6:00 PM,Andhra Pradesh,7,0,0.0,0.0,7.0,train,,,,
295.0,23/03/20,6:00 PM,Bihar,2,0,0.0,1.0,2.0,train,,,,
296.0,23/03/20,6:00 PM,Chhattisgarh,1,0,0.0,0.0,1.0,train,,,,
297.0,23/03/20,6:00 PM,Delhi,28,1,5.0,1.0,29.0,train,,,,
298.0,23/03/20,6:00 PM,Gujarat,29,0,0.0,1.0,29.0,train,,,,
299.0,23/03/20,6:00 PM,Haryana,12,14,0.0,0.0,26.0,train,,,,
